N     Sum up     Sum down
659      1.0749075       7.0686984
660      1.0778401       7.0702138
661      1.0807812       7.0717268
662      1.0837311       7.0732374
663      1.0866896       7.0747457
664      1.0896569       7.0762515
665      1.0926331       7.0777555
666      1.0956182       7.079257
667      1.0986123       7.0807562
668      1.1016153       7.082253
669      1.1046274       7.0837479
670      1.1076485       7.0852404
671      1.1106788       7.0867305
672      1.1137183       7.0882187
673      1.116767       7.0897045
674      1.1198251       7.0911884
675      1.1228926       7.09267
676      1.1259695       7.0941491
677      1.129056       7.0956264
678      1.132152       7.0971012
679      1.1352576       7.0985742
680      1.1383729       7.1000447
681      1.1414979       7.1015134
682      1.1446327       7.1029797
683      1.1477773       7.104444
684      1.1509318       7.105906
685      1.1540964       7.1073661
686      1.157271       7.1088238
687      1.1604557       7.1102796
688      1.1636506       7.111733
689      1.1668558       7.1131845
690      1.1700712       7.1146336
691      1.173297       7.1160808
692      1.1765333       7.1175261
693      1.1797801       7.118969
694      1.1830374       7.12041
695      1.1863054       7.1218486
696      1.1895841       7.1232853
697      1.1928736       7.1247201
698      1.1961739       7.126153
699      1.1994852       7.1275835
700      1.2028074       7.1290121
701      1.2061408       7.1304388
702      1.2094853       7.1318631
703      1.212841       7.1332855
704      1.216208       7.134706
705      1.2195864       7.1361246
706      1.2229762       7.1375408
707      1.2263776       7.1389551
708      1.2297906       7.1403675
709      1.2332152       7.141778
710      1.2366517       7.1431866
711      1.2400999       7.1445932
712      1.2435601       7.1459975
713      1.2470323       7.1473999
714      1.2505167       7.1488004
715      1.2540132       7.1501989
716      1.257522       7.1515956
717      1.2610431       7.1529903
718      1.2645767       7.1543832
719      1.2681228       7.1557741
720      1.2716815       7.1571631
721      1.2752529       7.1585503
722      1.2788372       7.1599355
723      1.2824343       7.1613188
724      1.2860445       7.1627002
725      1.2896677       7.1640797
726      1.2933041       7.1654572
727      1.2969537       7.1668329
728      1.3006167       7.1682067
729      1.3042932       7.1695786
730      1.3079832       7.1709485
731      1.3116869       7.1723166
732      1.3154043       7.1736827
733      1.3191357       7.1750469
734      1.322881       7.1764092
735      1.3266404       7.1777697
736      1.3304139       7.1791282
737      1.3342018       7.1804852
738      1.3380041       7.1818404
739      1.341821       7.1831937
740      1.3456523       7.184545
741      1.3494985       7.1858945
742      1.3533595       7.187242
743      1.3572354       7.1885881
744      1.3611264       7.1899323
745      1.3650327       7.1912746
746      1.3689543       7.192615
747      1.3728913       7.1939535
748      1.3768439       7.1952906
749      1.3808122       7.1966257
750      1.3847963       7.1979589
751      1.3887962       7.1992903
752      1.3928123       7.2006202
753      1.3968445       7.2019482
754      1.4008931       7.2032743
755      1.4049581       7.2045989
756      1.4090397       7.2059216
757      1.4131382       7.2072425
758      1.4172534       7.2085619
759      1.4213856       7.2098794
760      1.4255351       7.211195
761      1.4297018       7.2125092
762      1.4338859       7.2138214
763      1.4380876       7.2151322
764      1.442307       7.2164412
765      1.4465443       7.2177482
766      1.4507996       7.2190537
767      1.4550731       7.2203574
768      1.459365       7.2216597
769      1.4636754       7.22296
770      1.4680043       7.2242589
771      1.4723521       7.2255559
772      1.4767189       7.2268515
773      1.4811049       7.2281451
774      1.4855101       7.2294369
775      1.4899349       7.2307272
776      1.4943794       7.2320161
777      1.4988437       7.2333031
778      1.503328       7.2345886
779      1.5078325       7.2358723
780      1.5123575       7.2371545
781      1.5169029       7.2384348
782      1.5214691       7.2397137
783      1.5260563       7.2409906
784      1.5306646       7.2422662
785      1.5352942       7.2435403
786      1.5399454       7.2448125
787      1.5446182       7.2460833
788      1.5493131       7.2473521
789      1.5540301       7.2486196
790      1.5587693       7.2498856
791      1.5635313       7.2511497
792      1.568316       7.2524123
793      1.5731237       7.2536736
794      1.5779546       7.2549329
795      1.582809       7.2561908
796      1.587687       7.2574472
797      1.592589       7.2587018
798      1.5975151       7.2599549
799      1.6024656       7.2612066
800      1.6074407       7.2624564
801      1.6124407       7.2637048
802      1.6174659       7.2649517
803      1.6225164       7.2661972
804      1.6275926       7.2674408
805      1.6326946       7.268683
806      1.6378229       7.2699237
807      1.6429775       7.271163
808      1.6481588       7.2724004
809      1.6533672       7.2736363
810      1.6586027       7.2748709
811      1.6638659       7.276104
812      1.6691569       7.2773356
813      1.674476       7.2785659
814      1.6798236       7.2797942
815      1.6852       7.2810211
816      1.6906054       7.2822466
817      1.6960402       7.2834706
818      1.7015046       7.2846932
819      1.7069991       7.2859144
